Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1740622453,4b208a6a1dea,reverse-proxy-api-1,4b208a6a1dea,0.04%,"53.18MiB / 60MiB",88.64%,"713kB / 529kB","0B / 0B",11
1740622464,82683638170d,reverse-proxy-cache-1,82683638170d,0.00%,"17.27MiB / 20MiB",86.33%,"132MB / 126MB","0B / 0B",20
1740622464,d0e094025c73,reverse-proxy-agent-1,d0e094025c73,0.07%,"262.7MiB / 15.48GiB",1.66%,"209MB / 165MB","0B / 0B",36
1740622464,9947d69af862,reverse-proxy-lb-1,9947d69af862,0.15%,"96.6MiB / 15.48GiB",0.61%,"1.03MB / 1.31MB","0B / 0B",39
1740622464,ebc59ece3ba0,reverse-proxy-controller-1,ebc59ece3ba0,0.47%,"806.1MiB / 15.48GiB",5.09%,"21.9MB / 87.5MB","0B / 0B",235
1740622464,4b208a6a1dea,reverse-proxy-api-1,4b208a6a1dea,0.04%,"53.18MiB / 60MiB",88.64%,"713kB / 529kB","0B / 0B",11
1740622476,82683638170d,reverse-proxy-cache-1,82683638170d,0.00%,"17.27MiB / 20MiB",86.33%,"132MB / 126MB","0B / 0B",20
1740622476,d0e094025c73,reverse-proxy-agent-1,d0e094025c73,0.05%,"262.5MiB / 15.48GiB",1.66%,"209MB / 165MB","0B / 0B",36
1740622476,9947d69af862,reverse-proxy-lb-1,9947d69af862,0.13%,"96.59MiB / 15.48GiB",0.61%,"1.03MB / 1.31MB","0B / 0B",39
1740622476,ebc59ece3ba0,reverse-proxy-controller-1,ebc59ece3ba0,0.58%,"807MiB / 15.48GiB",5.09%,"21.9MB / 87.5MB","0B / 0B",235
1740622476,4b208a6a1dea,reverse-proxy-api-1,4b208a6a1dea,0.04%,"53.18MiB / 60MiB",88.64%,"713kB / 529kB","0B / 0B",11
1740622487,82683638170d,reverse-proxy-cache-1,82683638170d,0.00%,"17.27MiB / 20MiB",86.33%,"132MB / 126MB","0B / 0B",20
1740622487,d0e094025c73,reverse-proxy-agent-1,d0e094025c73,0.06%,"262.5MiB / 15.48GiB",1.66%,"209MB / 165MB","0B / 0B",36
1740622487,9947d69af862,reverse-proxy-lb-1,9947d69af862,0.05%,"96.6MiB / 15.48GiB",0.61%,"1.03MB / 1.31MB","0B / 0B",39
1740622487,ebc59ece3ba0,reverse-proxy-controller-1,ebc59ece3ba0,45.00%,"807.6MiB / 15.48GiB",5.10%,"21.9MB / 87.5MB","0B / 0B",235
1740622487,4b208a6a1dea,reverse-proxy-api-1,4b208a6a1dea,0.05%,"53.18MiB / 60MiB",88.64%,"713kB / 529kB","0B / 0B",11
1740622500,82683638170d,reverse-proxy-cache-1,82683638170d,0.00%,"17.27MiB / 20MiB",86.33%,"132MB / 126MB","0B / 0B",20
1740622785,6314788638ac,reverse-proxy-cache-1,6314788638ac,0.00%,"13.97MiB / 20MiB",69.86%,"1.13kB / 0B","0B / 0B",18
1740622785,af762eb3befa,reverse-proxy-lb-1,af762eb3befa,0.06%,"91.38MiB / 15.48GiB",0.58%,"1.35kB / 0B","0B / 0B",40
1740622785,ed298524516e,reverse-proxy-agent-1,ed298524516e,0.20%,"171.7MiB / 15.48GiB",1.08%,"82.4MB / 665kB","0B / 0B",29
1740622785,0d143fae543e,reverse-proxy-controller-1,0d143fae543e,0.73%,"856.6MiB / 15.48GiB",5.41%,"667kB / 82.4MB","0B / 0B",227
1740622785,ac343d2d2902,reverse-proxy-api-1,ac343d2d2902,0.05%,"44.24MiB / 60MiB",73.74%,"1.48kB / 0B","0B / 0B",5
1740622796,6314788638ac,reverse-proxy-cache-1,6314788638ac,0.00%,"13.97MiB / 20MiB",69.86%,"1.13kB / 0B","0B / 0B",18
1740622796,af762eb3befa,reverse-proxy-lb-1,af762eb3befa,0.09%,"91.38MiB / 15.48GiB",0.58%,"1.35kB / 0B","0B / 0B",40
1740622796,ed298524516e,reverse-proxy-agent-1,ed298524516e,0.08%,"175.8MiB / 15.48GiB",1.11%,"82.4MB / 674kB","0B / 0B",29
1740622796,0d143fae543e,reverse-proxy-controller-1,0d143fae543e,7.84%,"858.4MiB / 15.48GiB",5.42%,"676kB / 82.4MB","0B / 0B",227
1740622796,ac343d2d2902,reverse-proxy-api-1,ac343d2d2902,0.06%,"44.24MiB / 60MiB",73.74%,"1.55kB / 0B","0B / 0B",5
1740622809,6314788638ac,reverse-proxy-cache-1,6314788638ac,0.00%,"13.97MiB / 20MiB",69.86%,"1.13kB / 0B","0B / 0B",18
1740622809,af762eb3befa,reverse-proxy-lb-1,af762eb3befa,0.06%,"91.38MiB / 15.48GiB",0.58%,"1.35kB / 0B","0B / 0B",40
1740622809,ed298524516e,reverse-proxy-agent-1,ed298524516e,0.10%,"179.7MiB / 15.48GiB",1.13%,"82.4MB / 684kB","0B / 0B",29
1740622809,0d143fae543e,reverse-proxy-controller-1,0d143fae543e,2.50%,"859MiB / 15.48GiB",5.42%,"687kB / 82.4MB","0B / 0B",231
1740622809,ac343d2d2902,reverse-proxy-api-1,ac343d2d2902,0.04%,"44.24MiB / 60MiB",73.74%,"1.55kB / 0B","0B / 0B",5
1740622821,6314788638ac,reverse-proxy-cache-1,6314788638ac,0.00%,"13.97MiB / 20MiB",69.86%,"1.13kB / 0B","0B / 0B",18
1740622821,af762eb3befa,reverse-proxy-lb-1,af762eb3befa,0.06%,"91.38MiB / 15.48GiB",0.58%,"1.35kB / 0B","0B / 0B",40
1740622821,ed298524516e,reverse-proxy-agent-1,ed298524516e,0.14%,"184.7MiB / 15.48GiB",1.17%,"82.4MB / 694kB","0B / 0B",29
1740622821,0d143fae543e,reverse-proxy-controller-1,0d143fae543e,0.94%,"859.8MiB / 15.48GiB",5.42%,"696kB / 82.4MB","0B / 0B",228
1740622821,ac343d2d2902,reverse-proxy-api-1,ac343d2d2902,0.04%,"44.24MiB / 60MiB",73.74%,"1.55kB / 0B","0B / 0B",5
1740622832,6314788638ac,reverse-proxy-cache-1,6314788638ac,0.00%,"13.97MiB / 20MiB",69.86%,"1.2kB / 0B","0B / 0B",18
1740622832,af762eb3befa,reverse-proxy-lb-1,af762eb3befa,0.06%,"91.38MiB / 15.48GiB",0.58%,"1.35kB / 0B","0B / 0B",40
1740622832,ed298524516e,reverse-proxy-agent-1,ed298524516e,0.36%,"189MiB / 15.48GiB",1.19%,"82.4MB / 703kB","0B / 0B",29
1740622832,0d143fae543e,reverse-proxy-controller-1,0d143fae543e,2.38%,"861.3MiB / 15.48GiB",5.43%,"706kB / 82.4MB","0B / 0B",231
1740622832,ac343d2d2902,reverse-proxy-api-1,ac343d2d2902,0.04%,"44.24MiB / 60MiB",73.74%,"1.55kB / 0B","0B / 0B",5
1740622844,6314788638ac,reverse-proxy-cache-1,6314788638ac,0.00%,"13.97MiB / 20MiB",69.86%,"1.2kB / 0B","0B / 0B",18
1740622844,af762eb3befa,reverse-proxy-lb-1,af762eb3befa,0.05%,"91.38MiB / 15.48GiB",0.58%,"1.35kB / 0B","0B / 0B",40
1740622844,ed298524516e,reverse-proxy-agent-1,ed298524516e,0.09%,"193.1MiB / 15.48GiB",1.22%,"82.4MB / 713kB","0B / 0B",29
1740622844,0d143fae543e,reverse-proxy-controller-1,0d143fae543e,0.73%,"861.7MiB / 15.48GiB",5.44%,"715kB / 82.4MB","0B / 0B",228
1740622844,ac343d2d2902,reverse-proxy-api-1,ac343d2d2902,0.04%,"44.24MiB / 60MiB",73.74%,"1.55kB / 0B","0B / 0B",5
1740622855,6314788638ac,reverse-proxy-cache-1,6314788638ac,0.00%,"13.97MiB / 20MiB",69.86%,"1.2kB / 0B","0B / 0B",18
1740622855,af762eb3befa,reverse-proxy-lb-1,af762eb3befa,0.07%,"91.46MiB / 15.48GiB",0.58%,"1.35kB / 0B","0B / 0B",40
1740622855,ed298524516e,reverse-proxy-agent-1,ed298524516e,0.56%,"199MiB / 15.48GiB",1.26%,"82.4MB / 722kB","0B / 0B",29
1740622855,0d143fae543e,reverse-proxy-controller-1,0d143fae543e,1.16%,"863MiB / 15.48GiB",5.45%,"725kB / 82.4MB","0B / 0B",230
1740622855,ac343d2d2902,reverse-proxy-api-1,ac343d2d2902,0.05%,"44.24MiB / 60MiB",73.74%,"1.55kB / 0B","0B / 0B",5
1740622867,6314788638ac,reverse-proxy-cache-1,6314788638ac,0.00%,"13.97MiB / 20MiB",69.86%,"1.2kB / 0B","0B / 0B",18
1740622867,af762eb3befa,reverse-proxy-lb-1,af762eb3befa,0.05%,"91.46MiB / 15.48GiB",0.58%,"1.35kB / 0B","0B / 0B",40
1740622867,ed298524516e,reverse-proxy-agent-1,ed298524516e,0.48%,"203MiB / 15.48GiB",1.28%,"82.4MB / 733kB","0B / 0B",29
1740622867,0d143fae543e,reverse-proxy-controller-1,0d143fae543e,0.61%,"863.6MiB / 15.48GiB",5.45%,"734kB / 82.4MB","0B / 0B",230
1740622867,ac343d2d2902,reverse-proxy-api-1,ac343d2d2902,0.05%,"44.24MiB / 60MiB",73.74%,"1.55kB / 0B","0B / 0B",5
1740622880,6314788638ac,reverse-proxy-cache-1,6314788638ac,0.00%,"13.97MiB / 20MiB",69.86%,"1.2kB / 0B","0B / 0B",18
