2025-03-06 15:18:51,3,158870,3972,158870,3972,158870,3972,0,1,2
2025-03-06 15:18:59,1,163017,4147,163017,4147,163017,4147,0,1,0
2025-03-06 15:19:09,1,167469,4452,167469,4452,167469,4452,0,1,0
2025-03-06 15:19:19,1,172091,4622,172091,4622,172091,4622,0,1,0
2025-03-06 15:19:26,2,176848,4757,176848,4757,176848,4757,0,1,1
2025-03-06 15:20:12,1,63376,63376,63376,0,1,0
2025-03-06 15:20:22,7,4706,4706,4706,0,2,5
2025-03-06 15:20:30,1,2963,2963,2963,0,1,0
2025-03-06 15:20:32,1,206312,29464,206312,29464,206312,29464,0,1,0
2025-03-06 15:20:40,1,4,4,4,0,1,0
2025-03-06 15:20:42,1,206316,4,206316,4,206316,4,0,1,0
2025-03-06 15:20:50,1,4,4,4,0,1,0
2025-03-06 15:20:52,1,206320,4,206320,4,206320,4,0,1,0
2025-03-06 15:20:57,1,4,4,4,0,1,0
2025-03-06 15:20:59,1,206324,4,206324,4,206324,4,0,1,0
2025-03-06 15:21:07,1,4,4,4,0,1,0
2025-03-06 15:21:09,1,206328,4,206328,4,206328,4,0,1,0
2025-03-06 15:21:17,1,4,4,4,0,1,0
2025-03-06 15:21:19,1,206332,4,206332,4,206332,4,0,1,0
2025-03-06 15:21:25,1,4,4,4,0,1,0
2025-03-06 15:21:27,1,206336,4,206336,4,206336,4,0,1,0
2025-03-06 15:21:35,1,4,4,4,0,1,0
2025-03-06 15:21:37,1,206340,4,206340,4,206340,4,0,1,0
2025-03-06 15:21:45,1,4,4,4,0,1,0
2025-03-06 15:21:47,1,206344,4,206344,4,206344,4,0,1,0
2025-03-06 15:21:55,1,4,4,4,0,1,0
2025-03-06 15:21:54,1,206348,4,206348,4,206348,4,0,1,0
2025-03-06 15:22:02,1,4,4,4,0,1,0
2025-03-06 15:22:04,1,206352,4,206352,4,206352,4,0,1,0
2025-03-06 15:22:12,1,4,4,4,0,1,0
2025-03-06 15:22:14,1,206356,4,206356,4,206356,4,0,1,0
2025-03-06 15:22:22,1,4,4,4,0,1,0
2025-03-06 15:22:24,1,206360,4,206360,4,206360,4,0,1,0
2025-03-06 15:22:30,1,4,4,4,0,1,0
2025-03-06 15:22:32,1,206364,4,206364,4,206364,4,0,1,0
2025-03-06 15:22:40,1,4,4,4,0,1,0
2025-03-06 15:22:42,1,206368,4,206368,4,206368,4,0,1,0
2025-03-06 15:22:50,1,4,4,4,0,1,0
2025-03-06 15:22:52,1,206372,4,206372,4,206372,4,0,1,0
2025-03-06 15:22:58,1,4,4,4,0,1,0
2025-03-06 15:22:59,1,206376,4,206376,4,206376,4,0,1,0
2025-03-06 15:23:08,1,4,4,4,0,1,0
2025-03-06 15:23:09,1,206380,4,206380,4,206380,4,0,1,0
2025-03-06 15:23:18,1,4,4,4,0,1,0
2025-03-06 15:23:19,1,206384,4,206384,4,206384,4,0,1,0
2025-03-06 15:23:25,1,4,4,4,0,1,0
2025-03-06 15:23:27,1,206388,4,206388,4,206388,4,0,1,0
2025-03-06 15:23:35,1,4,4,4,0,1,0
2025-03-06 15:23:37,1,206392,4,206392,4,206392,4,0,1,0
2025-03-06 15:23:45,1,4,4,4,0,1,0
2025-03-06 15:23:47,1,206396,4,206396,4,206396,4,0,1,0
2025-03-06 15:23:53,1,4,4,4,0,1,0
2025-03-06 15:23:55,1,206400,4,206400,4,206400,4,0,1,0
2025-03-06 15:24:03,1,4,4,4,0,1,0
2025-03-06 15:24:05,1,206404,4,206404,4,206404,4,0,1,0
2025-03-06 15:24:13,1,4,4,4,0,1,0
2025-03-06 15:24:15,1,206408,4,206408,4,206408,4,0,1,0
2025-03-06 15:24:23,1,4,4,4,0,1,0
2025-03-06 15:24:25,1,206412,4,206412,4,206412,4,0,1,0
2025-03-06 15:24:30,1,4,4,4,0,1,0
2025-03-06 15:24:32,1,206416,4,206416,4,206416,4,0,1,0
2025-03-06 15:24:40,1,4,4,4,0,1,0
2025-03-06 15:24:42,1,206420,4,206420,4,206420,4,0,1,0
2025-03-06 15:24:50,1,4,4,4,0,1,0
2025-03-06 15:24:52,1,206424,4,206424,4,206424,4,0,1,0
2025-03-06 15:24:58,1,4,4,4,0,1,0
2025-03-06 15:25:00,1,206428,4,206428,4,206428,4,0,1,0
2025-03-06 15:25:08,1,4,4,4,0,1,0
2025-03-06 15:25:10,1,206432,4,206432,4,206432,4,0,1,0
2025-03-06 15:25:18,1,4,4,4,0,1,0
2025-03-06 15:25:20,1,206436,4,206436,4,206436,4,0,1,0
2025-03-06 15:25:25,1,4,4,4,0,1,0
2025-03-06 15:25:27,1,206440,4,206440,4,206440,4,0,1,0
2025-03-06 15:25:35,1,4,4,4,0,1,0
2025-03-06 15:25:37,1,206444,4,206444,4,206444,4,0,1,0
2025-03-06 15:25:45,1,4,4,4,0,1,0
2025-03-06 15:25:47,1,206448,4,206448,4,206448,4,0,1,0
2025-03-06 15:25:53,1,4,4,4,0,1,0
